USER,COURSE_ID,SCORE
37465,excourse31,27.0
37465,RP0105EN,27.0
37465,excourse73,27.0
37465,TMP0105EN,27.0
37465,excourse72,27.0
37465,BD0212EN,27.0
37465,SC0103EN,27.0
37465,DB0151EN,24.0
37465,BD0143EN,24.0
37465,BD0141EN,24.0
37465,GPXX0M6UEN,24.0
37465,GPXX097UEN,24.0
37465,BD0121EN,24.0
37465,excourse03,24.0
37465,excourse70,24.0
37465,excourse71,24.0
37465,excourse05,24.0
37465,excourse42,24.0
37465,BD0145EN,24.0
37465,BD0131EN,24.0
50348,CC0101EN,2.0
50348,DS0201EN,2.0
50348,excourse24,2.0
50348,excourse25,2.0
50348,excourse26,2.0
50348,CO0301EN,2.0
50348,CL0101EN,2.0
50348,excourse27,2.0
50348,excourse28,2.0
50348,excourse29,2.0
50348,excourse30,2.0
50348,excourse31,2.0
50348,SECM03EN,2.0
50348,GPXX04V3EN,2.0
50348,CO0401EN,2.0
50348,SW0201EN,2.0
50348,WA0101EN,2.0
50348,GPXX0TY1EN,2.0
50348,SW0101EN,2.0
50348,excourse44,2.0
52091,TA0106EN,4.0
52091,GPXX0ZMZEN,4.0
52091,PA0107EN,4.0
52091,GPXX04P5EN,4.0
52091,GPXX0IBEN,4.0
52091,ML0101EN,4.0
52091,excourse22,4.0
52091,excourse21,4.0
52091,GPXX0KHHEN,4.0
52091,PA0103EN,4.0
52091,GPXX01DCEN,4.0
52091,BD0151EN,4.0
52091,ML0122EN,4.0
52091,PA0101EN,4.0
52091,GPXX0KY1EN,2.0
52091,DS0101EN,2.0
52091,TMP0106,2.0
52091,GPXX0YMEEN,2.0
52091,TA0105EN,2.0
52091,SW0201EN,2.0
70434,excourse73,6.0
70434,excourse72,6.0
70434,SC0103EN,6.0
70434,BD0211EN,6.0
70434,BD0212EN,6.0
70434,excourse10,4.0
70434,GPXX0M6UEN,4.0
70434,excourse05,4.0
70434,excourse70,4.0
70434,excourse71,4.0
70434,excourse02,4.0
70434,BD0223EN,4.0
70434,excourse42,4.0
70434,BD0143EN,4.0
70434,BD0121EN,4.0
70434,excourse03,4.0
70434,excourse31,4.0
70434,GPXX0TY1EN,4.0
70434,DJ0101EN,4.0
70434,GPXX097UEN,4.0
85625,excourse73,54.0
85625,excourse05,54.0
85625,GPXX0M6UEN,54.0
85625,BD0212EN,54.0
85625,excourse31,54.0
85625,BD0211EN,54.0
85625,excourse70,54.0
85625,excourse71,54.0
85625,excourse72,54.0
85625,SC0103EN,54.0
85625,excourse03,54.0
85625,TMP0105EN,54.0
85625,GPXX097UEN,54.0
85625,excourse42,54.0
85625,DB0151EN,54.0
85625,excourse10,54.0
85625,RP0105EN,54.0
85625,BD0101EN,54.0
85625,DE0205EN,42.0
85625,GPXX0G31EN,42.0
108541,SC0103EN,27.0
108541,BD0212EN,27.0
108541,RP0105EN,27.0
108541,TMP0105EN,27.0
108541,excourse72,27.0
108541,excourse73,27.0
108541,excourse05,24.0
108541,BD0145EN,24.0
108541,excourse70,24.0
108541,excourse71,24.0
108541,BD0121EN,24.0
108541,excourse03,24.0
108541,BD0131EN,24.0
108541,GPXX0M6UEN,24.0
108541,GPXX097UEN,24.0
108541,excourse10,24.0
108541,excourse31,24.0
108541,BD0141EN,24.0
108541,DB0151EN,24.0
108541,BD0143EN,24.0
109915,GPXX04V3EN,12.0
109915,CC0150EN,12.0
109915,GPXX0UMSEN,9.0
109915,BD0211EN,9.0
109915,BD0137EN,9.0
109915,CO0301EN,9.0
109915,LB0105ENv1,9.0
109915,LB0103ENv1,9.0
109915,excourse92,9.0
109915,GPXX0RL8EN,9.0
109915,excourse44,9.0
109915,GPXX0TY1EN,9.0
109915,BD0123EN,9.0
109915,GPXX0G81EN,9.0
109915,GPXX0G31EN,9.0
109915,GPXX0ADEN,9.0
109915,excourse31,9.0
109915,GPXX0D14EN,9.0
109915,excourse93,9.0
109915,BD0133EN,9.0
134697,CB0201EN,2.0
134697,CB0101EN,2.0
134697,GPXX0QQ3EN,2.0
134697,GPXX0HZ2EN,0.0
134697,BD0131EN,0.0
134697,BD0115EN,0.0
134697,GPXX04V3EN,0.0
134697,GPXX05P1EN,0.0
134697,GPXX0D14EN,0.0
134697,GPXX0G3KEN,0.0
134697,excourse93,0.0
134697,BD0133EN,0.0
134697,GPXX0IHMEN,0.0
134697,ST0101EN,0.0
134697,BD0153EN,0.0
134697,DP0101EN,0.0
134697,BD0137EN,0.0
134697,ML0120EN,0.0
134697,GPXX0E3QEN,0.0
134697,GPXX04TNEN,0.0
142685,GPXX0WTIEN,2.0
142685,GPXX0IBEN,2.0
142685,SW0101EN,2.0
142685,GPXX0HC7EN,2.0
142685,GPXX0BUBEN,2.0
142685,SW0201EN,2.0
142685,TA0105,2.0
142685,excourse35,2.0
142685,CB0201EN,2.0
142685,excourse40,2.0
142685,DW0101EN,2.0
142685,PA0107EN,2.0
142685,excourse46,2.0
142685,excourse47,2.0
142685,GPXX0XENEN,2.0
142685,excourse49,2.0
142685,excourse50,2.0
142685,excourse51,2.0
142685,TMP0101EN,2.0
142685,excourse22,2.0
149690,excourse72,30.0
149690,TMP0105EN,30.0
149690,RP0105EN,30.0
149690,BD0212EN,30.0
149690,SC0103EN,30.0
149690,excourse73,30.0
149690,BD0145EN,24.0
149690,excourse71,24.0
149690,excourse70,24.0
149690,GPXX097UEN,24.0
149690,BD0141EN,24.0
149690,GPXX0M6UEN,24.0
149690,BD0143EN,24.0
149690,excourse42,24.0
149690,excourse03,24.0
149690,excourse05,24.0
149690,excourse31,24.0
149690,excourse10,24.0
149690,BD0131EN,24.0
149690,BD0121EN,24.0
152320,excourse73,36.0
152320,SC0103EN,36.0
152320,TMP0105EN,36.0
152320,RP0105EN,36.0
152320,excourse72,36.0
152320,GPXX0TY1EN,33.0
152320,excourse02,27.0
152320,DJ0101EN,27.0
152320,excourse31,27.0
152320,BD0223EN,24.0
152320,GPXX0IBEN,24.0
152320,excourse70,21.0
152320,TMP0101EN,21.0
152320,excourse35,21.0
152320,BD0143EN,21.0
152320,excourse40,21.0
152320,excourse42,21.0
152320,BD0141EN,21.0
152320,BD0101EN,21.0
152320,excourse71,21.0
160015,SC0103EN,39.0
160015,RP0105EN,39.0
160015,BD0212EN,39.0
160015,excourse72,39.0
160015,excourse73,39.0
160015,TMP0105EN,39.0
160015,BD0145EN,36.0
160015,GPXX0M6UEN,36.0
160015,BD0143EN,36.0
160015,excourse42,36.0
160015,GPXX097UEN,36.0
160015,DB0151EN,36.0
160015,excourse31,36.0
160015,excourse71,36.0
160015,excourse70,36.0
160015,excourse03,36.0
160015,BD0121EN,36.0
160015,excourse05,36.0
160015,excourse10,36.0
160015,TA0106EN,24.0
161471,BD0212EN,12.0
161471,GPXX097UEN,12.0
161471,BD0145EN,12.0
161471,TMP0105EN,12.0
161471,excourse42,12.0
161471,DB0151EN,12.0
161471,excourse31,12.0
161471,GPXX0M6UEN,12.0
161471,excourse70,12.0
161471,excourse71,12.0
161471,excourse72,12.0
161471,excourse73,12.0
161471,SC0103EN,12.0
161471,BD0115EN,12.0
161471,BD0211EN,12.0
161471,excourse10,12.0
161471,excourse06,12.0
161471,excourse05,12.0
161471,excourse04,12.0
161471,excourse03,12.0
179356,ML0122ENv3,2.0
179356,RP0103EN,2.0
179356,GPXX0BUBEN,2.0
179356,SW0201EN,2.0
179356,TA0105,2.0
179356,RP0151EN,2.0
179356,excourse21,2.0
179356,excourse22,2.0
179356,ML0101ENv3,2.0
179356,GPXX0IBEN,2.0
179356,ML0109EN,2.0
179356,RP0103,2.0
179356,SW0101EN,2.0
179356,PA0107EN,2.0
179356,excourse35,2.0
179356,excourse37,2.0
179356,GPXX04P5EN,2.0
179356,PA0103EN,2.0
179356,excourse40,2.0
179356,BENTEST4,2.0
181124,BD0212EN,30.0
181124,RP0105EN,30.0
181124,SC0103EN,30.0
181124,excourse73,30.0
181124,excourse72,30.0
181124,TMP0105EN,30.0
181124,excourse10,24.0
181124,excourse05,24.0
181124,excourse03,24.0
181124,BD0115EN,24.0
181124,excourse42,24.0
181124,excourse31,24.0
181124,GPXX097UEN,24.0
181124,GPXX0M6UEN,24.0
181124,BD0141EN,24.0
181124,excourse70,24.0
181124,excourse71,24.0
181124,BD0131EN,24.0
181124,BD0111EN,24.0
